imdbID,CurrencyBudget,CurrencyGross,Language
tt8155288,USD,USD,English
tt0437086,USD,USD,English
tt2386490,USD,USD,English
tt6513120,USD,USD,English
tt2639336,,USD,English
tt1488606,USD,,English
tt4154664,USD,USD,English
tt5968394,USD,USD,English
tt5977276,,USD,English
tt6472976,USD,USD,English
tt1860242,USD,,English
tt1158939,,USD,English
tt6643972,USD,USD,English
tt6857112,USD,USD,English
tt5461944,,USD,Hindi
tt0800325,,,English
tt6491178,USD,USD,English
tt6511932,USD,USD,English
tt9024106,USD,USD,English
tt0448115,USD,USD,English
tt4807408,USD,USD,English
tt4827558,EUR,USD,English
tt2338454,,,English
tt7976208,,USD,English
tt7315484,,USD,English
tt6348138,USD,USD,English
tt4126476,USD,USD,English
tt7942742,,USD,English
tt7083526,USD,USD,English
tt4913966,USD,USD,English
tt5691670,USD,USD,English
tt6418778,,USD,English
tt8075260,USD,,English
tt4058836,,,English
tt4154796,USD,USD,English
tt8647310,,USD,English
tt2139881,USD,USD,English
tt6722030,USD,USD,English
tt2481498,,USD,English
tt7957694,,,English
tt5884052,USD,USD,English
tt1298644,USD,USD,English
tt3361792,USD,USD,English
tt5125894,USD,USD,English
tt5932728,USD,USD,English
tt6146586,USD,USD,English
tt8385474,USD,USD,English
tt6423362,USD,USD,English
tt6865690,,USD,English
tt6920356,,USD,English
tt8769848,,USD,English
tt7752126,USD,USD,English
tt1489887,USD,USD,English
tt7772580,,,English
tt7374948,,,English
tt3741700,USD,USD,English
tt2066051,USD,USD,English
tt7958736,USD,USD,English
tt6565702,USD,USD,English
tt6107548,USD,USD,English
tt4353250,,USD,English
tt2283336,USD,USD,English
tt8695030,,USD,English
tt1618434,,,English
tt7645122,,USD,English
tt6547044,,USD,English
tt1979376,USD,USD,English
tt7456310,EUR,USD,English
tt8350360,USD,USD,English
tt8079248,USD,USD,English
tt5690810,USD,USD,English
tt8400758,USD,USD,English
tt6320628,USD,USD,English
tt6772804,,USD,English
tt8772262,USD,USD,English
tt7734218,USD,USD,English
tt8637428,,USD,Mandarin
tt8396294,,,English
tt7131622,USD,USD,English
tt6043142,,USD,English
tt4995776,,,English
tt3758162,,USD,English
tt8000718,,USD,English
tt7547410,USD,USD,English
tt5822564,USD,USD,English
tt1478839,USD,USD,English
tt3387520,USD,USD,English
tt4364194,USD,USD,English
tt6063090,,USD,English
tt6095472,USD,USD,English
tt6977338,USD,USD,English
tt8266310,USD,USD,English
tt2365580,USD,USD,English
tt7329656,USD,USD,English
tt7798634,USD,USD,English
tt6189022,USD,USD,English
tt7671064,,USD,English
tt8186318,USD,USD,English
tt5431890,,USD,English
tt6803212,USD,USD,English
tt6895284,,,English
tt7349950,USD,USD,English
tt2866708,,USD,English
tt8815382,,,English
tt3864056,USD,USD,English
tt5503686,USD,USD,English
tt6062774,,USD,Spanish
tt9252508,USD,,English
tt2935510,USD,USD,English
tt5792656,,USD,English
tt4332232,,,English
tt6324278,USD,USD,English
tt5865326,,,English
tt7549996,,USD,English
tt7286456,USD,USD,English
tt4682804,,USD,English
tt8526872,,,English
tt4687108,,,English
tt7390588,,USD,English
tt1025100,USD,USD,English
tt7984766,,USD,English
tt9243946,USD,,English
tt4777008,USD,USD,English
tt1560220,USD,USD,English
tt2584384,USD,USD,English
tt7984734,USD,USD,English
tt5913798,,,English
tt7390646,USD,USD,English
tt2140507,USD,USD,English
tt10039344,USD,USD,English
tt7473716,,,English
tt6450804,USD,USD,English
tt0385887,USD,USD,English
tt1302006,USD,USD,English
tt4648786,USD,USD,English
tt4426464,CAD,USD,English
tt7653254,USD,USD,English
tt5606664,USD,USD,English
tt8623904,USD,USD,English
tt9134216,USD,USD,English
tt1950235,,,English
tt6924650,USD,USD,English
tt4729430,USD,,English
tt8151874,,USD,English
tt5097410,,,English
tt1950186,USD,USD,English
tt5563334,USD,USD,English
tt8236336,,USD,English
tt8652728,USD,USD,English
tt4520988,USD,USD,English
tt3224458,USD,USD,English
tt8688634,USD,USD,English
tt9071322,,USD,English
tt8946378,USD,USD,English
tt8404614,,USD,English
tt4199898,EUR,USD,English
tt6141246,,USD,English
tt0427543,,USD,English
tt8745960,,USD,English
tt7975244,USD,USD,English
tt3513548,USD,USD,English
tt8106534,USD,,English
tt6394270,USD,USD,English
tt5727208,USD,USD,English
tt1780967,,USD,English
tt5827916,,USD,English
tt5697572,USD,USD,English
tt5814534,USD,USD,English
tt3281548,USD,USD,English
tt8579674,USD,USD,English
tt4916630,USD,USD,English
tt5577494,,USD,English
tt5774060,USD,USD,English
tt5706370,,USD,English
tt7349896,,,English
tt7149066,,USD,English
tt1502397,USD,USD,English
tt6673612,USD,USD,English
tt11390036,,,English
tt8367814,USD,USD,English
tt7510346,USD,USD,English
tt0783640,USD,USD,English
tt8170298,,,English
tt7134096,USD,USD,English
tt7713068,USD,USD,English
tt7347846,,USD,English
tt6820324,USD,,English
tt11388406,,,English
tt9354842,,,English
tt3794354,USD,USD,English
tt0983946,USD,USD,English
tt7798646,USD,USD,English
tt7369550,,,English
tt6515910,,USD,English
tt7504726,USD,USD,English
tt7456312,,,English
tt7979142,,USD,English
tt9208444,USD,USD,English
tt1051906,USD,USD,English
tt3907584,,,English
tt2420124,USD,USD,English
tt6902676,USD,USD,English
tt7146812,USD,USD,English
tt8629748,,,English
tt6285944,,USD,English
tt8342680,,USD,English
tt8372298,,USD,English
tt9231040,,USD,English
tt1634106,USD,USD,English
tt9779516,USD,USD,English
tt3111426,,,English
tt7772582,,USD,English
tt3824648,,,English
tt6744360,,,English
tt6914122,,USD,English
tt9261218,,,English
tt8368406,USD,USD,English
tt5096470,,,English
tt8058874,,USD,English
tt4257940,,,English
tt8750570,USD,,English
tt5206260,,,English
tt8936646,USD,,English
tt2305326,,,English
tt10183816,,,English
tt3993886,,,English
tt8305806,USD,USD,English
tt9683478,,,Spanish
tt9139586,,USD,English
tt6199572,,USD,English
tt9619798,,,English
tt3152592,,USD,English
tt8179024,USD,,English
tt7923220,,USD,English
tt10303324,USD,USD,English
tt9308382,,USD,English
tt8430598,,USD,English
tt1552211,,,English
tt10314450,,USD,English
tt5929654,,USD,English
tt9777644,,,English
tt3089630,,,English
tt9686708,USD,USD,English
tt8201852,,,English
tt6760876,,USD,Spanish
tt10714856,,USD,English
tt6436726,,,English
tt11905462,,,English
tt8580274,,,English
tt9076562,,USD,English
tt8242084,,USD,English
tt8503618,,,English
tt1545304,,,English
tt7556122,USD,,English
tt6048922,USD,,English
tt9484998,,USD,English
tt7149730,,USD,English
tt3278540,USD,USD,English
tt6508228,,USD,English
tt9784456,,,English
tt4411584,USD,USD,English
tt6841122,,USD,English
tt8461224,USD,USD,English
tt6149154,,USD,English
tt7550000,USD,,English
tt3979300,,,English
tt11394332,,USD,English
tt11095742,,,English
tt3661394,,,English
tt10059518,USD,USD,English
tt5259822,USD,USD,English
tt3547306,USD,USD,English
tt8045906,,USD,English
tt11656172,,USD,English
tt5843876,,,English
tt6723592,USD,USD,English
tt4682266,USD,USD,English
tt6439020,USD,USD,English
tt7939766,,,English
tt3155342,,,English
tt2197936,,USD,English
tt11100856,,,English
tt7870102,USD,USD,English
tt9806370,,USD,English
tt11024272,,,English
tt10556022,,,English
tt7395114,,,English
tt2140571,,USD,English
tt9731360,,USD,English
tt12274228,,USD,English
tt9252488,,USD,English
tt10065694,,USD,English
tt8338762,,USD,English
tt8717446,,USD,English
tt7846844,USD,,English
tt1070874,USD,,English
tt8784956,,USD,English
tt8143990,,USD,English
tt10661180,,USD,English
tt10324122,,,English
tt10199914,,,English
tt7435316,,USD,English
tt9606374,,USD,English
tt5774062,,,English
tt5918982,,USD,English
tt1830643,,USD,English
tt7945440,,,English
tt12298506,,USD,English
tt10682266,,,English
tt11242218,,,English
tt9048840,,,English
tt4532038,,USD,English
tt7139936,,USD,English
tt6862538,,USD,English
tt11044858,,,English
tt12882620,,,English
tt4844150,,,English
tt2222042,,USD,English
tt1838556,USD,USD,English
tt6473066,,,English
tt8980602,,USD,English
tt7711170,USD,USD,English
tt5616176,USD,USD,English
tt8633748,,,English
tt7488208,,,English
tt13143964,,,English
tt10362466,,USD,English
tt5867314,,USD,English
tt9016974,,USD,English
tt4798836,,,
tt8431078,,USD,English
tt4685762,,USD,English
tt9866072,,,English
tt8004664,,USD,English
tt8508734,,,English
tt10736580,,USD,English
tt8710596,,USD,English
tt9340860,,USD,English
tt1833116,USD,USD,English
tt10229558,,USD,English
tt6772802,USD,,English
tt10618286,,,English
tt10919380,USD,USD,English
tt7736496,,,English
tt5294522,,USD,English
tt10310140,,USD,English
tt10627584,,,Italian
tt10944486,,USD,English
tt11199410,USD,,English
tt8633478,,USD,English
tt5363618,USD,USD,English
tt8337320,,USD,English
tt9624766,,USD,English
tt7070818,,USD,English
tt2850386,USD,USD,English
tt8522006,,USD,English
tt10514222,,,English
tt11327514,,,English
tt13524234,,,English
tt7178640,,USD,English
tt6598238,,USD,English
tt10161886,,USD,English
tt8305852,USD,USD,English
tt11681250,,,English
tt10515926,,USD,English
tt9689696,,USD,English
tt9601220,,,English
tt10808832,,,English
tt10539608,,USD,English
tt6842770,,USD,English
tt10649016,,,English
tt8902978,,,English
tt10243992,,,English
tt7970348,,USD,English
tt11274100,,USD,English
tt11380884,,USD,English
tt6475714,USD,USD,English
tt7737786,USD,USD,English
tt8829830,,USD,English
tt9387250,,USD,English
tt2226162,,USD,English
tt13615386,,,English
tt9827834,,,English
tt7126948,USD,USD,English
tt2948372,,USD,English
tt10600398,,,English
tt6878306,USD,USD,English
tt10612922,USD,,English
tt9620292,,USD,English
tt11161474,,,English
tt6571548,,,Hindi
tt13061914,,USD,English
tt3661210,,USD,English
tt10451914,,,English
tt6902332,USD,USD,English
tt11268742,,,English
tt10195452,,USD,English
tt9608818,,USD,English
tt10661710,,,English
tt6317656,,USD,English
tt10016180,USD,USD,English
tt10332588,,,English
tt9770150,USD,USD,English
tt6857376,,,English
tt9143112,,USD,English
tt10333426,,,English
tt2235372,,USD,English
tt7541720,USD,USD,English
tt9784798,USD,USD,English
tt4761112,,USD,English
tt7737640,,USD,English
tt3797512,,USD,English
tt10633456,USD,USD,Korean
tt10676012,,,English
tt9738716,,USD,English
tt10279362,,USD,English
tt11080108,,,English
tt10037014,,USD,English
tt9893250,USD,USD,English
tt7937254,,USD,English
tt8521718,,USD,English
tt9130508,USD,,English
tt9731682,,USD,French
tt11459366,,USD,English
tt6432466,,,English
tt6802400,USD,,English
tt4823776,USD,USD,English
tt5109280,,USD,English
tt2076822,USD,USD,English
tt7638348,USD,USD,English
tt10896398,,USD,English
tt12361974,USD,,English
tt8368512,,USD,English
tt2677722,,USD,English
tt9849004,,,English
tt7888964,USD,USD,English
tt6588950,,USD,English
tt5034838,USD,USD,English
tt8846176,,,English
tt9419056,,USD,English
tt2231874,,USD,English
tt9098454,,USD,English
tt9664108,,USD,English
tt10121392,,,English
tt8884906,,USD,English
tt13429362,,USD,English
tt9203694,USD,,English
tt0293429,USD,USD,English
tt7979580,,,English
tt5932368,,USD,English
tt11285280,,USD,English
tt10962368,,,English
tt0499097,,,English
tt4136456,,USD,English
tt10344522,,USD,English
tt9173154,,USD,English
tt11083552,USD,USD,English
tt6060444,,USD,English
tt9224288,,USD,English
tt4779326,,USD,English
tt10944596,,USD,English
tt5688068,,USD,English
tt11111286,,,English
tt3917506,GBP,,English
tt6341832,,,French
tt0993840,USD,,Bable
tt3215824,,USD,English
tt6111574,USD,,English
tt10342730,USD,USD,English
tt4669252,,USD,English
tt8760280,,USD,English
tt9883996,,USD,English
tt10767066,,,English
tt8332922,USD,USD,English
tt3228774,USD,USD,English
tt7069210,USD,USD,English
tt8372094,,USD,English
tt6384920,,,English
tt3910630,,,English
tt6654210,,,English
tt8376234,USD,USD,English
tt1321510,USD,USD,English
tt5562070,,USD,English
tt8482584,,USD,English
tt7524444,,USD,English
tt8338076,,USD,English
tt10160896,,USD,English
tt8385148,USD,USD,English
tt12801262,,USD,English
tt4733624,,,English
tt10719958,,USD,English
tt10741846,,USD,English
tt8610436,,USD,English
tt11777510,,,English
tt10837932,,,English
tt8231668,,,English
tt5433138,USD,USD,English
tt3758814,,USD,English
tt9288692,,USD,English
tt10096842,,,English
tt5078852,USD,USD,English
tt11388990,,USD,Spanish
tt6733874,,,English
tt11525644,,,English
tt9777666,USD,USD,English
tt10327252,USD,USD,English
tt6566576,,,English
tt11422728,,USD,English
tt3480822,USD,USD,English
tt9701940,,,English
tt8368408,USD,USD,English
tt3554046,USD,USD,English
tt9701942,,,English
tt1697800,,USD,English
tt11003218,,USD,English
tt12528166,,USD,English
tt14512538,,USD,English
tt5246700,USD,,English
tt12851396,,,English
tt10954652,USD,USD,English
tt4651466,,USD,English
tt10228134,,USD,English
tt11656220,USD,USD,English
tt6484398,,,English
tt14731254,,,English
tt13622084,,USD,English
tt0870154,USD,USD,English
tt6338498,,USD,English
tt10696896,,USD,English
tt9243804,,USD,Latin
tt10451852,,USD,English
tt5554356,,,English
tt6461318,,USD,
tt10388028,,USD,English
tt6334354,USD,USD,English
tt9598214,,USD,English
tt11307724,,USD,English
tt13207508,,,English
tt7768784,,,English
tt12783454,,,English
tt13622168,,,English
tt6264654,USD,USD,English
tt2452150,USD,USD,English
tt10230994,,,English
tt6246322,,USD,English
tt10366460,USD,USD,American Sign Language
tt11905538,,,English
tt3272066,USD,USD,English
tt6079772,,USD,English
tt10731768,,,English
tt9731534,,USD,English
tt2304637,,USD,English
tt13622118,,USD,English
tt8722624,,,English
tt3626476,,,English
tt13507778,,USD,English
tt10430850,,,English
tt11742798,,,English
tt9376612,USD,USD,English
tt8009744,,USD,English
tt6179746,USD,USD,English
tt11433048,,USD,English
tt13363828,,USD,English
tt7737528,,,English
tt8635092,,,English
tt3811906,USD,USD,English
tt9054192,USD,USD,English
tt11196036,,USD,English
tt7638556,,,English
tt11235772,,,English
tt9789042,,USD,English
tt14031338,,USD,English
tt14769324,,USD,English
tt6561576,,USD,English
tt10042868,,,English
tt10521144,,,English
tt5164438,,,English
tt9115530,,USD,English
tt1924245,,USD,English
tt5748448,,USD,English
tt11121664,,USD,English
tt6372694,,USD,English
tt10339052,,USD,English
tt11826450,USD,,English
tt10441822,,USD,English
tt11092594,,,English
tt5563324,,,English
tt10101702,,USD,English
tt9357050,USD,USD,English
tt9421570,,,English
tt11771006,,,English
tt13069986,,USD,English
tt7097896,USD,USD,English
tt8110232,USD,USD,English
tt11125620,,USD,English
tt12731980,,USD,English
tt14857602,,USD,English
tt11271800,,USD,English
tt14578032,,USD,English
tt8150814,,,English
tt2382320,USD,USD,English
tt11389748,,USD,English
tt11284502,,,English
tt15385930,,,English
tt12861508,,USD,English
tt10665338,USD,USD,English
tt4244994,USD,USD,English
tt7099280,,,English
tt14030526,,USD,
tt7230750,,,English
tt10763820,USD,,English
tt1160419,USD,USD,English
tt7504818,,USD,English
tt8847712,USD,USD,English
tt10696784,,USD,English
tt10687506,,USD,English
tt8893974,,,English
tt7740510,,USD,English
tt13024674,,,English
tt10925852,USD,USD,English
tt6992978,,USD,English
tt10515988,,,English
tt3885422,,,English
tt6852672,,,English
tt10314548,,USD,English
tt9032400,USD,USD,English
tt7991608,USD,USD,English
tt3420504,,,English
tt12536294,USD,USD,English
tt3876910,USD,USD,English
tt10752004,,,English
tt11738830,,USD,English
tt2397461,USD,USD,English
tt8721424,USD,USD,English
tt11012066,USD,,English
tt13265876,,USD,English
tt10293406,,USD,English
tt8310474,USD,,English
tt4513678,USD,USD,English
tt9620288,USD,USD,English
tt10986222,USD,USD,Persian
tt2953050,USD,USD,English
tt11214590,USD,USD,English
tt11233960,,USD,Persian
tt6920084,USD,USD,English
tt11540284,,,English
tt10023286,,USD,English
tt11271038,USD,USD,English
tt14315756,,,English
tt13575806,,,English
tt12800524,,,English
tt1587420,,,English
tt10957044,USD,,English
tt11286314,USD,USD,English
tt14547524,USD,USD,English
tt4995540,,,English
tt13453006,USD,USD,English
tt8718158,,USD,English
tt8337158,,,English
tt10872600,USD,USD,English
tt7740496,USD,USD,English
tt9100054,,USD,English
tt3108894,,,English
tt13029044,,,English
tt6467266,USD,USD,English
tt10838180,USD,USD,English
tt6856242,USD,USD,English
tt10095582,,USD,English
tt0995854,,USD,English
tt11729298,,USD,English
tt8399288,,USD,English
tt8356942,USD,USD,English
tt7267498,,USD,English
tt12689248,USD,USD,English
tt13496236,USD,USD,English
tt13989030,,,English
tt11365186,,USD,English
tt2328678,USD,USD,English
tt1596557,,USD,English
tt11847410,USD,,English
tt14592064,,,English
tt10023022,,USD,English
tt11466222,USD,USD,English
tt5834426,USD,USD,English
tt9244554,,USD,English
tt7657566,USD,USD,English
tt10223460,USD,USD,English
tt14060094,USD,USD,English
tt6462958,,,English
