Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross,Platform,CurrencyBudget,CurrencyGross,Language
Josie,Movie,2018-03-16,6000.0,Drama,,31.0,5.2,3380,tt4682780,,,others,,,English
Flower,Movie,2018-03-16,5400.0,Comedy,,45.0,6.0,9752,tt2582784,,380553.0,others,,USD,English
Pacific Rim: Uprising,Movie,2018-03-23,6660.0,Action,,44.0,5.6,120600,tt2557478,150000000.0,290930148.0,others,USD,USD,English
Isle of Dogs,Movie,2018-04-13,6060.0,Animation,2.0,82.0,7.8,175573,tt5104604,,64337744.0,others,,USD,English
Unsane,Movie,2018-03-23,5880.0,Drama,,63.0,6.4,47908,tt7153766,1500000.0,14293601.0,others,USD,USD,English
"Paul, Apostle of Christ",Movie,2018-03-23,6480.0,Adventure,,52.0,6.6,9044,tt7388562,5000000.0,25915966.0,others,USD,USD,English
Final Portrait,Movie,2018-03-23,5400.0,Biography,,70.0,6.2,5827,tt4494718,,1677835.0,others,,USD,English
Midnight Sun,Movie,2018-03-23,5460.0,Drama,,38.0,6.6,33107,tt4799066,2800000.0,27365467.0,others,USD,USD,English
Ready Player One,Movie,2018-03-29,8400.0,Action,1.0,64.0,7.4,449794,tt1677720,175000000.0,592241728.0,others,USD,USD,English
God's Not Dead: A Light in Darkness,Movie,2018-03-30,6300.0,Drama,,33.0,4.4,4217,tt6652708,,7414178.0,others,,USD,English
Gemini,Movie,2018-03-30,5580.0,Crime,,71.0,5.4,5346,tt5795086,,200340.0,others,,USD,English
The Last Movie Star,Movie,2018-03-30,5640.0,Drama,,46.0,7.0,4602,tt5836316,,14410.0,others,,USD,English
A Quiet Place,Movie,2018-04-06,5400.0,Drama,1.0,82.0,7.5,545301,tt6644200,17000000.0,340952971.0,others,USD,USD,American Sign Language
Blockers,Movie,2018-04-06,6120.0,Comedy,,69.0,6.2,81628,tt2531344,21000000.0,94019120.0,others,USD,USD,English
Chappaquiddick,Movie,2018-04-06,6360.0,Biography,,67.0,6.4,13965,tt5270948,13000000.0,18263470.0,others,USD,USD,English
Lean on Pete,Movie,2018-05-04,7260.0,Adventure,,80.0,7.2,13254,tt5340300,,2443584.0,others,,USD,English
The Miracle Season,Movie,2018-04-06,6060.0,Drama,,44.0,6.5,5803,tt5427194,,10230620.0,others,,USD,English
Beirut,Movie,2018-04-11,6540.0,Action,,69.0,6.5,23406,tt4669264,,7509436.0,others,,USD,English
Rampage,Movie,2018-04-13,6420.0,Action,,45.0,6.1,173894,tt2231461,120000000.0,428028233.0,others,USD,USD,English
Truth or Dare,Movie,2018-04-13,6000.0,Horror,,35.0,5.2,58664,tt6772950,3500000.0,95330710.0,others,USD,USD,English
The Rider,Movie,2018-04-13,6240.0,Drama,,91.0,7.4,19777,tt6217608,,3436124.0,others,,USD,English
I Feel Pretty,Movie,2018-04-20,6600.0,Comedy,,48.0,5.6,55239,tt6791096,32000000.0,94539426.0,others,USD,USD,English
Super Troopers 2,Movie,2018-04-20,5940.0,Comedy,,41.0,6.0,27316,tt0859635,13500000.0,31626386.0,others,USD,USD,English
Traffik,Movie,2018-04-20,5760.0,Action,,37.0,5.9,20877,tt5670152,4000000.0,9515914.0,others,USD,USD,English
Liz and the Blue Bird,Movie,2018-04-21,5400.0,Animation,,67.0,7.1,1905,tt7089878,,737286.0,others,,USD,Japanese
Avengers: Infinity War,Movie,2018-04-27,8940.0,Action,1.0,68.0,8.4,1111680,tt4154756,321000000.0,2052415039.0,others,USD,USD,English
Disobedience,Movie,2018-04-27,6840.0,Drama,,74.0,6.6,32989,tt6108178,6000000.0,8003180.0,others,USD,USD,English
Backstabbing for Beginners,Movie,2018-04-27,6480.0,Drama,,48.0,6.3,5543,tt5153288,,367000.0,others,,USD,English
Adrift,Movie,2018-06-01,5760.0,Action,,56.0,6.6,58691,tt6306064,35000000.0,59945012.0,others,USD,USD,English
Upgrade,Movie,2018-06-01,6000.0,Action,,67.0,7.5,191614,tt6499752,5000000.0,16706680.0,others,USD,USD,English
American Animals,Movie,2018-08-14,6960.0,Biography,,68.0,7.0,46657,tt6212478,,4080073.0,others,,USD,English
Social Animals,Movie,2018-06-01,5400.0,Comedy,,37.0,5.3,1911,tt5639898,,5007.0,others,,USD,English
Won't You Be My Neighbor?,Movie,2018-06-29,5700.0,Documentary,,85.0,8.3,26289,tt7681902,,22844741.0,others,,USD,English
Hereditary,Movie,2018-06-08,7620.0,Drama,,87.0,7.3,335905,tt7784604,10000000.0,82530552.0,others,USD,USD,English
Hotel Artemis,Movie,2018-06-08,5640.0,Action,,58.0,6.1,55341,tt5834262,15000000.0,13313581.0,others,USD,USD,English
SuperFly,Movie,2018-06-13,6960.0,Action,,52.0,5.2,7325,tt7690670,16000000.0,20780685.0,others,USD,USD,English
Incredibles 2,Movie,2018-06-15,7080.0,Animation,1.0,80.0,7.6,306653,tt3606756,200000000.0,1243225667.0,others,USD,USD,English
Tag,Movie,2018-06-15,6000.0,Action,,56.0,6.5,138110,tt2854926,28000000.0,78130625.0,others,USD,USD,English
On Chesil Beach,Movie,2018-05-18,6600.0,Drama,,62.0,6.3,11787,tt1667321,,3338249.0,others,,USD,English
Gotti,Movie,2018-06-14,6720.0,Biography,,24.0,4.7,16128,tt1801552,10000000.0,6412349.0,others,USD,USD,English
Jurassic World: Fallen Kingdom,Movie,2018-06-22,7680.0,Action,,51.0,6.1,325229,tt4881806,170000000.0,1310466296.0,others,USD,USD,English
Boundaries,Movie,2018-09-13,6240.0,Comedy,,50.0,5.5,2472,tt5686062,,755977.0,others,,USD,English
Damsel,Movie,2018-06-22,6780.0,Comedy,,63.0,5.6,5570,tt5881528,,323235.0,others,,USD,English
The Domestics,Movie,2018-06-29,5700.0,Action,,,5.7,10269,tt5591666,9000000.0,59766.0,others,USD,USD,English
Sicario: Day of the Soldado,Movie,2018-06-29,7320.0,Action,,61.0,7.1,154760,tt5052474,35000000.0,75837743.0,others,USD,USD,English
Leave No Trace,Movie,2018-06-29,6540.0,Adventure,,88.0,7.1,61854,tt3892172,,7682928.0,others,,USD,English
Uncle Drew,Movie,2018-06-29,6180.0,Comedy,,57.0,5.8,15046,tt7334528,19000000.0,46664414.0,others,USD,USD,English
Woman Walks Ahead,Movie,2018-06-29,6060.0,Biography,,51.0,6.6,7739,tt5436228,,80912.0,others,,USD,English
Tully,Movie,2018-05-04,5700.0,Comedy,,75.0,6.9,60824,tt5610554,13000000.0,15636462.0,others,USD,USD,English
Bad Samaritan,Movie,2018-05-04,6600.0,Crime,,42.0,6.4,24637,tt3203528,,4623836.0,others,,USD,English
Life of the Party,Movie,2018-05-11,6300.0,Comedy,,46.0,5.6,38050,tt5619332,30000000.0,65859911.0,others,USD,USD,English
The Seagull,Movie,2018-07-26,5880.0,Comedy,,58.0,5.7,3776,tt4682136,,1820461.0,others,,USD,English
Terminal,Movie,2018-05-11,5700.0,Comedy,,27.0,5.3,23551,tt4463816,,843970.0,others,,USD,English
Deadpool 2,Movie,2018-05-18,7140.0,Action,,66.0,7.6,599660,tt5463162,110000000.0,785896609.0,others,USD,USD,English
Book Club,Movie,2018-05-18,6240.0,Comedy,,53.0,6.1,29190,tt6857166,10000000.0,104438188.0,others,USD,USD,English
First Reformed,Movie,2018-06-08,6780.0,Drama,1.0,85.0,7.1,58985,tt6053438,3500000.0,3862498.0,others,USD,USD,English
Pope Francis: A Man of His Word,Movie,2018-06-14,5760.0,Documentary,,63.0,6.5,2325,tt6915100,,8608385.0,others,,USD,Italian
Show Dogs,Movie,2018-05-18,5520.0,Adventure,,31.0,3.9,4871,tt5691024,5500000.0,39156854.0,others,USD,USD,English
Solo: A Star Wars Story,Movie,2018-05-25,8100.0,Action,1.0,62.0,6.9,357648,tt3778644,275000000.0,392924807.0,others,USD,USD,English
How to Talk to Girls at Parties,Movie,2018-05-25,6120.0,Comedy,,50.0,5.7,11739,tt3859310,,385733.0,others,,USD,English
In Darkness,Movie,2018-05-25,6600.0,Mystery,,59.0,5.7,13738,tt5164184,,,others,,,English
The Misandrists,Movie,2018-05-25,5460.0,Comedy,,56.0,5.0,504,tt5518756,,26123.0,others,,USD,English
The First Purge,Movie,2018-07-04,5820.0,Action,,54.0,5.2,66071,tt6133466,13000000.0,137056262.0,others,USD,USD,English
Ant-Man and the Wasp,Movie,2018-07-06,7080.0,Action,,70.0,7.0,419971,tt5095030,162000000.0,622674139.0,others,USD,USD,English
Sorry to Bother You,Movie,2018-07-13,6720.0,Comedy,,80.0,6.9,83103,tt5688932,3200000.0,18170707.0,others,USD,USD,English
Hotel Transylvania 3: Summer Vacation,Movie,2018-07-13,5820.0,Animation,,54.0,6.3,77988,tt5220122,80000000.0,528583774.0,others,USD,USD,English
Skyscraper,Movie,2018-07-13,6120.0,Action,,51.0,5.8,126015,tt5758778,125000000.0,304868961.0,others,USD,USD,English
Eighth Grade,Movie,2018-08-03,5580.0,Comedy,,89.0,7.4,78519,tt7014006,2000000.0,14347433.0,others,USD,USD,English
"Don't Worry, He Won't Get Far on Foot",Movie,2018-04-04,6840.0,Biography,,67.0,6.8,28598,tt6288124,,4241656.0,others,,USD,English
Shock and Awe,Movie,2018-07-20,5400.0,Biography,,47.0,6.4,7873,tt5540992,16450000.0,182415.0,others,USD,USD,English
Mamma Mia! Here We Go Again,Movie,2018-07-20,6840.0,Comedy,,60.0,6.6,99618,tt6911608,75000000.0,402264843.0,others,USD,USD,English
The Equalizer 2,Movie,2018-07-20,7260.0,Action,,50.0,6.7,167279,tt3766354,62000000.0,190400157.0,others,USD,USD,English
Blindspotting,Movie,2018-07-27,5700.0,Comedy,,77.0,7.4,31607,tt7242142,,5006989.0,others,,USD,English
Unfriended: Dark Web,Movie,2018-07-20,5520.0,Horror,,53.0,6.0,34816,tt4761916,1000000.0,16024987.0,others,USD,USD,English
Mission: Impossible - Fallout,Movie,2018-07-27,8820.0,Action,1.0,86.0,7.7,342325,tt4912910,178000000.0,791657398.0,others,USD,USD,English
Detective Dee: The Four Heavenly Kings,Movie,2018-07-27,7920.0,Action,,58.0,6.3,2852,tt6869538,,90040771.0,others,,USD,Mandarin
Hot Summer Nights,Movie,2018-07-27,6420.0,Crime,,44.0,6.4,20663,tt3416536,,246133.0,others,,USD,English
Puzzle,Movie,2018-09-07,6180.0,Drama,,66.0,6.7,8171,tt6933454,,2260946.0,others,,USD,English
Extinction,Movie,2018-07-27,5700.0,Action,,40.0,5.8,54763,tt3201640,,1451864.0,netflix,,USD,English
Christopher Robin,Movie,2018-08-03,6240.0,Adventure,1.0,60.0,7.2,80426,tt4575576,75000000.0,197744377.0,others,USD,USD,English
The Darkest Minds,Movie,2018-08-03,6240.0,Action,,39.0,5.7,33745,tt4073790,34000000.0,41142379.0,others,USD,USD,English
The Spy Who Dumped Me,Movie,2018-08-03,7020.0,Action,,52.0,6.0,79708,tt6663582,40000000.0,75339459.0,others,USD,USD,English
The Miseducation of Cameron Post,Movie,2018-09-07,5460.0,Comedy,,69.0,6.6,23894,tt6257174,,1474577.0,others,,USD,English
The Meg,Movie,2018-08-10,6780.0,Action,,46.0,5.6,176968,tt4779682,130000000.0,530517320.0,others,USD,USD,English
